# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/annotation.gtf" "-o" "comptage/counts.txt" "mapping/SRR13687743.sorted.bam" "mapping/SRR13687744.sorted.bam" "mapping/SRR13687745.sorted.bam" "mapping/SRR13687746.sorted.bam" "mapping/SRR13687747.sorted.bam" "mapping/SRR13687748.sorted.bam" "mapping/SRR13687749.sorted.bam" "mapping/SRR13687750.sorted.bam" "mapping/SRR13687751.sorted.bam" "mapping/SRR13687752.sorted.bam" "mapping/SRR13687753.sorted.bam" "mapping/SRR13687754.sorted.bam" "mapping/SRR13687755.sorted.bam" "mapping/SRR13687756.sorted.bam" "mapping/SRR13687757.sorted.bam" "mapping/SRR13687758.sorted.bam" "mapping/SRR13687759.sorted.bam" "mapping/SRR13687760.sorted.bam" "mapping/SRR13687761.sorted.bam" "mapping/SRR13687762.sorted.bam" "mapping/SRR13687763.sorted.bam" "mapping/SRR13687764.sorted.bam" "mapping/SRR13687765.sorted.bam" "mapping/SRR13687766.sorted.bam" "mapping/SRR13687767.sorted.bam" "mapping/SRR13687768.sorted.bam" "mapping/SRR13687769.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/SRR13687743.sorted.bam	mapping/SRR13687744.sorted.bam	mapping/SRR13687745.sorted.bam	mapping/SRR13687746.sorted.bam	mapping/SRR13687747.sorted.bam	mapping/SRR13687748.sorted.bam	mapping/SRR13687749.sorted.bam	mapping/SRR13687750.sorted.bam	mapping/SRR13687751.sorted.bam	mapping/SRR13687752.sorted.bam	mapping/SRR13687753.sorted.bam	mapping/SRR13687754.sorted.bam	mapping/SRR13687755.sorted.bam	mapping/SRR13687756.sorted.bam	mapping/SRR13687757.sorted.bam	mapping/SRR13687758.sorted.bam	mapping/SRR13687759.sorted.bam	mapping/SRR13687760.sorted.bam	mapping/SRR13687761.sorted.bam	mapping/SRR13687762.sorted.bam	mapping/SRR13687763.sorted.bam	mapping/SRR13687764.sorted.bam	mapping/SRR13687765.sorted.bam	mapping/SRR13687766.sorted.bam	mapping/SRR13687767.sorted.bam	mapping/SRR13687768.sorted.bam	mapping/SRR13687769.sorted.bam
Rvnt15	NC_000962.3	1113511	1113583	+	73	2039	2587	5171	1639	2620	1027	1452	2031	2581	1256	1479	1230	1882	2493	1287	916	2651	2471	1976	2044	1049	1163	2905	6568	994	1697	1519
Rvnt16	NC_000962.3	1138076	1138147	-	72	141	182	263	145	165	131	88	107	138	128	130	166	86	111	68	26	59	49	103	118	67	48	83	183	36	39	50
Rvnt17	NC_000962.3	1177396	1177469	+	74	149	124	158	114	145	134	62	77	92	97	115	94	152	165	159	86	127	95	105	128	75	104	103	85	78	63	53
RVnc0034	NC_000962.3	1220388	1220487	-	100	116	86	169	91	102	73	42	60	84	69	105	89	84	131	86	45	65	62	78	107	59	67	73	99	58	48	62
RVnc0012	NC_000962.3	1283693	1283815	+	123	582	425	489	754	781	765	498	702	787	316	450	395	694	688	532	319	522	374	378	516	244	274	298	247	173	129	208
RVnc0013	NC_000962.3	1413094	1413224	-	131	2237	2059	3793	1756	2480	1386	3497	5388	6348	1365	1403	1396	1170	1384	825	695	1249	992	1472	1850	881	598	1022	2004	443	618	619
Rvnt18	NC_000962.3	1446193	1446265	-	73	61	75	251	75	127	43	48	46	72	70	73	64	93	114	57	55	88	77	74	79	36	65	90	237	43	61	62
RVnc0021	NC_000962.3	1471619	1471742	+	124	703	656	970	570	974	724	685	1122	1117	495	626	615	373	523	406	232	305	240	614	677	337	188	187	277	100	138	113
Rvnr01	NC_000962.3	1471846	1473382	+	1537	63522	66951	50737	54508	195006	154977	150395	155978	144697	109114	192291	211545	70171	144537	96058	57479	113493	76664	406417	313082	113729	53463	92905	86832	32125	29676	35534
Rvnr02	NC_000962.3	1473658	1476795	+	3138	163652	162198	180902	347149	448117	385048	342819	413550	387105	295465	477484	496946	213581	347722	235900	226431	349050	298587	994927	740029	319990	206102	280693	346168	179377	202785	208281
Rvnr03	NC_000962.3	1476899	1477013	+	115	557	429	711	327	535	3834	904	721	1064	381	416	586	976	1438	876	1526	2176	1152	5109	1399	746	771	4947	13480	1161	1524	4931
Rvnt19	NC_000962.3	1512728	1512811	+	84	243	290	555	163	247	138	142	193	272	179	230	176	195	259	136	100	256	229	217	256	155	185	296	602	106	119	173
RVnc0015	NC_000962.3	1535417	1535716	-	300	586	477	586	548	776	612	496	755	772	451	485	436	730	904	763	549	841	596	584	714	336	442	639	574	348	334	446
RVnc0035	NC_000962.3	1547129	1547268	+	140	994	854	966	280	389	326	721	1095	1384	708	1032	921	352	368	333	342	468	344	1191	1596	864	214	249	224	185	178	231
Rvnt20	NC_000962.3	1828015	1828088	-	74	99	93	191	86	139	50	29	45	53	34	52	47	46	54	47	23	55	25	48	57	17	20	48	84	23	11	25
RVnc0010	NC_000962.3	1914962	1915190	-	229	763	645	649	492	781	627	369	516	501	352	385	311	337	359	269	149	266	181	328	452	207	146	145	122	88	102	96
Rvnt21	NC_000962.3	1946613	1946686	+	74	66	73	87	35	55	49	34	52	59	49	79	63	79	70	67	28	58	33	62	70	45	45	56	100	33	35	55
RVnc0047	NC_000962.3	1952291	1952503	-	213	63	35	64	63	53	56	12	28	27	54	40	45	86	69	54	38	76	44	57	60	47	32	30	39	49	31	38
RVnc0036	NC_000962.3	1960667	1960783	+	117	348	332	698	158	179	133	424	512	731	209	287	316	190	217	120	150	239	232	322	469	192	162	233	345	112	79	85
RVnc0001	NC_000962.3	2139419	2139656	+	238	210	160	131	108	103	105	42	76	72	129	205	128	269	245	238	118	170	155	178	260	150	173	145	143	163	78	104
RVnc0003	NC_000962.3	2299745	2299886	+	142	647	670	672	469	610	438	128	151	170	303	466	283	471	461	369	162	237	163	240	365	164	184	179	158	117	73	116
Rvnt22	NC_000962.3	2401987	2402072	+	86	621	783	1440	424	584	245	479	797	955	461	720	579	593	855	499	338	846	720	727	841	403	562	1112	2468	436	749	732
Rvns01	NC_000962.3	2500445	2500751	-	307	226546	165151	212104	128364	167623	153266	283133	429911	455757	159772	179032	186791	271523	285885	235528	327395	463897	454140	334175	400232	241675	263365	301185	311615	456101	405918	553279
Rvnt23	NC_000962.3	2510598	2510669	-	72	460	484	782	260	430	291	174	277	339	291	304	305	311	309	173	136	308	291	287	327	155	202	410	969	185	233	252
RVnc0018	NC_000962.3	2517032	2517134	-	103	506	410	474	1130	1210	880	517	736	807	555	747	624	490	502	378	186	193	185	201	249	158	216	186	204	83	73	93
Rvnt24	NC_000962.3	2581764	2581837	-	74	117	102	164	71	132	95	77	91	128	63	91	57	54	59	47	32	46	35	57	76	43	23	31	29	21	11	31
Rvnt25	NC_000962.3	2619407	2619479	-	73	1444	1676	3630	1195	1866	785	815	1207	1549	911	1152	1055	1311	1551	731	430	1368	1239	1244	1256	613	731	1643	3885	568	859	846
RVnc0024	NC_000962.3	2692172	2692521	+	350	7571	6107	7221	4236	5120	4159	6799	9066	10951	3241	3958	3858	4795	4818	3681	2995	4567	3789	2441	3624	2012	2556	2302	2376	1761	1399	1988
Rvnt26	NC_000962.3	2765331	2765404	-	74	608	515	547	364	522	456	221	272	312	355	456	427	556	646	496	364	481	398	408	521	315	280	342	321	240	220	289
Rvnt27	NC_000962.3	2765541	2765611	+	71	464	436	854	336	499	317	283	457	505	310	325	336	405	510	291	185	466	381	457	492	230	312	637	1345	249	386	369
Rvnt28	NC_000962.3	2794176	2794249	+	74	257	286	589	298	419	170	192	266	359	172	214	219	372	513	289	189	504	435	314	380	128	244	491	1155	253	454	431
Rvnt29	NC_000962.3	2827854	2827926	+	73	1315	1267	2814	845	1401	602	693	1137	1436	984	1204	1033	1124	1263	816	480	1556	1215	1138	1390	559	724	1477	4196	634	1205	1225
Rvnt30	NC_000962.3	2835494	2835566	+	73	5350	6875	13025	3945	5984	2689	2591	3414	5337	3087	3585	3271	3820	5172	2370	1591	4477	4477	4968	4658	2315	2631	5924	13858	2225	3449	3356
Rvnt31	NC_000962.3	2969497	2969568	-	72	514	505	859	316	613	304	288	390	505	342	398	365	398	525	321	192	395	291	455	540	230	281	558	1124	191	228	288
Rvnt32	NC_000962.3	2969753	2969825	+	73	928	912	2155	419	899	374	419	642	962	557	836	793	549	725	358	235	665	512	768	709	386	391	1158	2452	327	525	475
Rvnt33	NC_000962.3	2969855	2969925	+	71	230	191	288	98	141	107	80	128	138	126	210	167	127	132	71	52	102	58	195	263	117	55	64	90	33	45	35
Rvnt34	NC_000962.3	2969942	2970013	+	72	737	628	1511	516	835	295	356	554	753	676	761	635	644	828	497	253	718	561	811	861	428	505	927	2444	333	566	566
Rvnt35	NC_000962.3	3348547	3348619	-	73	260	320	642	222	334	153	105	146	224	204	273	300	246	340	173	132	286	259	235	226	108	164	428	740	113	194	232
Rvnt36	NC_000962.3	3348659	3348730	-	72	315	276	442	246	379	252	159	213	294	219	237	217	236	264	165	101	227	145	249	249	116	108	192	528	98	116	122
Rvnt37	NC_000962.3	3431840	3431912	-	73	1979	1797	3538	1052	1807	685	894	1361	1952	1156	1533	1276	1573	2102	953	624	2092	1823	1483	1858	764	1061	2292	5726	826	1268	1207
RVnc0046	NC_000962.3	3467967	3468334	-	368	577548	546608	618794	419325	556002	464906	698291	963589	1047406	415181	463071	485653	915654	907611	758929	1025689	1360763	1457361	848573	860063	649230	969711	1088298	1029261	1650924	1411652	1822823
Rvnt38	NC_000962.3	3559370	3559443	-	74	2246	2793	5495	1649	2555	1108	1464	1956	2568	1928	2309	1915	2362	3129	1676	1285	2911	2557	2664	2590	1429	1929	4064	9906	1589	2570	2844
Rvnt39	NC_000962.3	4081365	4081437	-	73	161	178	351	91	156	90	72	96	161	100	158	187	153	184	101	57	148	166	160	180	86	122	228	540	82	106	126
RVnc0004	NC_000962.3	4099386	4099478	-	93	2767	2071	3335	1217	1986	1075	2386	4074	4712	987	1304	1074	1201	1362	912	710	1322	945	1213	1782	708	553	814	1394	521	653	620
RVnc0036a	NC_000962.3	4100669	4100968	+	300	37964	30011	49097	37192	56728	42888	218385	335511	331705	26233	31120	34474	80287	86296	66133	44658	62140	60331	38365	42575	26117	57132	81576	78195	36731	34433	45257
Rvnt40	NC_000962.3	4126541	4126614	+	74	311	311	335	218	263	214	131	148	189	219	265	256	225	216	200	122	212	156	241	320	212	138	180	192	123	97	119
RVnc0006	NC_000962.3	4168154	4168281	-	128	2007	2198	3346	1631	2360	1350	1081	1561	2048	1215	1426	1247	1480	1734	1050	766	1515	1367	1420	1599	824	834	1454	2901	687	1010	886
Rvnt41	NC_000962.3	4168345	4168430	+	86	352	266	355	209	345	239	111	137	215	149	186	195	215	232	156	104	211	130	173	250	132	75	144	178	73	79	97
Rvnt42	NC_000962.3	4199131	4199217	-	87	969	1053	2057	823	1287	563	621	863	1053	714	901	783	1027	1170	608	497	1098	933	791	932	527	809	1580	3461	592	839	971
Rvnt43	NC_000962.3	4216865	4216937	-	73	148	126	234	106	137	85	56	85	84	86	127	117	105	142	79	51	108	113	121	151	95	52	125	251	35	68	67
Rvnt44	NC_000962.3	4216968	4217056	-	89	796	746	1719	533	834	498	579	879	995	580	721	690	864	1079	651	558	1239	930	919	950	536	665	1386	3148	504	817	872
Rvnt45	NC_000962.3	4222581	4222667	-	87	266	265	552	200	272	115	61	89	106	164	193	167	200	192	131	64	126	94	244	215	91	112	215	461	70	71	90
RVnc0040	NC_000962.3	4317073	4317165	+	93	113	119	132	115	133	112	320	439	523	87	115	104	82	125	89	80	144	121	129	161	102	29	50	38	45	21	36
